Bowl,Date,Location,points1,points2,team1,team2,stadiumlat,stadiumlng,team1lat,team1lng,team2lat,team2lng
154,Hall of Fame Classic,12/31/1981,"Birmingham, AL",10,0,Mississippi State,Kansas,33.5185892,-86.8103567,33.4551742,-88.79437659999999,38.9543439,-95.2557961
155,Peach Bowl,12/31/1981,"Atlanta, GA",26,6,West Virginia,Florida,33.7489954,-84.3879824,39.6480359,-79.9697147,29.6436325,-82.3549302
156,Liberty Bowl,12/30/1981,"Memphis, TN",31,28,Ohio State (15),Navy,35.1495343,-90.0489801,40.0068363,-83.0306222,38.98206580000001,-76.4839405
157,Gator Bowl,12/28/1981,"Jacksonville, FL",31,27,North Carolina (11),Arkansas,30.3321838,-81.65565099999999,35.9049122,-79.0469134,36.0686895,-94.1748471
158,Sun Bowl,12/26/1981,"El Paso, TX",40,14,Oklahoma,Houston,31.7618778,-106.4850217,35.2058936,-97.4457137,29.7199489,-95.3422334
159,California Bowl,12/19/1981,"Fresno, CA",27,25,Toledo,San Jose State,36.7377981,-119.7871247,41.6578804,-83.6142374,37.3351874,-121.8810715
160,Tangerine Bowl,12/19/1981,"Orlando, FL",19,17,Missouri,Southern Mississippi (18),28.5383355,-81.3792365,38.9403808,-92.32773750000001,31.3298941,-89.3340439
161,Holiday Bowl,12/18/1981,"San Diego, CA",38,36,Brigham Young (14),Washington State (20),32.715738,-117.1610838,40.2518435,-111.6493156,46.7319225,-117.1542121
162,Garden State Bowl,12/13/1981,"East Rutherford, NJ",28,21,Tennessee,Wisconsin,40.833989,-74.0970865,35.9544013,-83.92945639999999,43.076592,-89.4124875
163,Independence Bowl,12/12/1981,"Shreveport, LA",33,16,Texas A&M,Oklahoma State,32.5251516,-93.7501789,30.6187558,-96.33647719999999,36.1270236,-97.07372219999999
164,Cotton Bowl,1/1/1983,"Dallas, TX",7,3,Southern Methodist (4),Pittsburgh (6),32.7766642,-96.79698789999999,32.8412178,-96.78451749999999,40.4443533,-79.960835
165,Fiesta Bowl,1/1/1983,"Tempe, AZ",32,21,Arizona State (11),Oklahoma (12),33.4255104,-111.9400054,32.2318851,-110.9501094,35.2058936,-97.4457137
166,Orange Bowl,1/1/1983,"Miami, FL",21,20,Nebraska (3),Louisiana State (13),25.7616798,-80.1917902,40.8201966,-96.70047629999999,30.4132579,-91.1800023
167,Rose Bowl,1/1/1983,"Pasadena, CA",24,14,UCLA (5),Michigan (19),34.1477849,-118.1445155,34.068921,-118.4451811,42.2780436,-83.7382241
168,Sugar Bowl,1/1/1983,"New Orleans, LA",27,23,Penn State (2),Georgia (1),29.95106579999999,-90.0715323,40.7982133,-77.8599084,33.9480053,-83.3773221
169,Bluebonnet Bowl,12/31/1982,"Houston, TX",28,24,Arkansas (14),Florida,29.7604267,-95.3698028,36.0686895,-94.1748471,29.6436325,-82.3549302
170,Hall of Fame Classic,12/31/1982,"Birmingham, AL",36,28,Air Force,Vanderbilt,33.5185892,-86.8103567,32.3771126,-86.3386457,36.1447034,-86.8026551
171,Peach Bowl,12/31/1982,"Atlanta, GA",28,22,Iowa,Tennessee,33.7489954,-84.3879824,41.6626963,-91.5548998,35.9544013,-83.92945639999999
172,Gator Bowl,12/30/1982,"Jacksonville, FL",31,12,Florida State,West Virginia (10),30.3321838,-81.65565099999999,30.43495,-84.284994,39.6480359,-79.9697147
173,Liberty Bowl,12/29/1982,"Memphis, TN",21,15,Alabama,Illinois,35.1495343,-90.0489801,33.2140233,-87.5391418,40.1019523,-88.2271615
174,Aloha Bowl,12/25/1982,"Honolulu, HI",21,20,Washington (9),Maryland (16),21.3069444,-157.8583333,47.65533509999999,-122.3035199,38.9869183,-76.9425543
175,Sun Bowl,12/25/1982,"El Paso, TX",26,10,North Carolina,Texas (8),31.7618778,-106.4850217,35.9049122,-79.0469134,30.2849185,-97.7340567
176,California Bowl,12/18/1982,"Fresno, CA",29,28,Fresno State,Bowling Green State,36.7377981,-119.7871247,36.81336410000001,-119.7460884,41.3797788,-83.6300826
177,Tangerine Bowl,12/18/1982,"Orlando, FL",33,26,Auburn (18),Boston College,28.5383355,-81.3792365,32.5933574,-85.4951663,42.3355488,-71.16849450000001
178,Holiday Bowl,12/17/1982,"San Diego, CA",47,17,Ohio State (17),Brigham Young,32.715738,-117.1610838,40.0068363,-83.0306222,40.2518435,-111.6493156
179,Independence Bowl,12/11/1982,"Shreveport, LA",14,3,Wisconsin,Kansas State,32.5251516,-93.7501789,43.076592,-89.4124875,38.9543439,-95.2557961
180,Cotton Bowl,1/2/1984,"Dallas, TX",10,9,Georgia (7),Texas (2),32.7766642,-96.79698789999999,33.9480053,-83.3773221,30.2849185,-97.7340567
181,Fiesta Bowl,1/2/1984,"Tempe, AZ",28,23,Ohio State (14),Pittsburgh (15),33.4255104,-111.9400054,40.0068363,-83.0306222,40.4443533,-79.960835
182,Orange Bowl,1/2/1984,"Miami, FL",31,30,Miami (FL) (5),Nebraska (1),25.7616798,-80.1917902,25.7178924,-80.2746368,40.8201966,-96.70047629999999
183,Rose Bowl,1/2/1984,"Pasadena, CA",45,9,UCLA,Illinois (4),34.1477849,-118.1445155,34.068921,-118.4451811,40.1019523,-88.2271615
184,Sugar Bowl,1/2/1984,"New Orleans, LA",9,7,Auburn (3),Michigan (8),29.95106579999999,-90.0715323,32.5933574,-85.4951663,42.2780436,-83.7382241
185,Bluebonnet Bowl,12/31/1983,"Houston, TX",24,14,Oklahoma State,Baylor (20),29.7604267,-95.3698028,36.1270236,-97.07372219999999,31.5497007,-97.1143046
186,Gator Bowl,12/30/1983,"Jacksonville, FL",14,6,Florida (11),Iowa (10),30.3321838,-81.65565099999999,29.6436325,-82.3549302,41.6626963,-91.5548998
187,Peach Bowl,12/30/1983,"Atlanta, GA",28,3,Florida State,North Carolina,33.7489954,-84.3879824,30.43495,-84.284994,35.9049122,-79.0469134
188,Liberty Bowl,12/29/1983,"Memphis, TN",19,18,Notre Dame,Boston College (13),35.1495343,-90.0489801,41.7055716,-86.2353388,42.3355488,-71.16849450000001
189,Aloha Bowl,12/26/1983,"Honolulu, HI",13,10,Penn State,Washington,21.3069444,-157.8583333,40.7982133,-77.8599084,47.65533509999999,-122.3035199
190,Sun Bowl,12/24/1983,"El Paso, TX",28,7,Alabama,Southern Methodist (6),31.7618778,-106.4850217,33.2140233,-87.5391418,32.8412178,-96.78451749999999
191,Holiday Bowl,12/23/1983,"San Diego, CA",21,17,Brigham Young (9),Missouri,32.715738,-117.1610838,40.2518435,-111.6493156,38.9403808,-92.32773750000001
192,Hall of Fame Classic,12/22/1983,"Birmingham, AL",20,16,West Virginia (18),Kentucky,33.5185892,-86.8103567,39.6480359,-79.9697147,38.0306511,-84.5039697
193,California Bowl,12/17/1983,"Fresno, CA",20,13,Northern Illinois,Cal State Fullerton,36.7377981,-119.7871247,41.934233,-88.774069,33.8829226,-117.8869261
194,Citrus Bowl,12/17/1983,"Orlando, FL",30,23,Tennessee,Maryland (16),28.5383355,-81.3792365,35.9544013,-83.92945639999999,38.9869183,-76.9425543
195,Independence Bowl,12/10/1983,"Shreveport, LA",9,3,Air Force (16),Mississippi,32.5251516,-93.7501789,32.3771126,-86.3386457,34.3647324,-89.538443
196,Cotton Bowl,1/1/1985,"Dallas, TX",45,28,Boston College (8),Houston,32.7766642,-96.79698789999999,42.3355488,-71.16849450000001,29.7199489,-95.3422334
197,Fiesta Bowl,1/1/1985,"Tempe, AZ",39,37,UCLA (14),Miami (FL) (13),33.4255104,-111.9400054,34.068921,-118.4451811,25.7178924,-80.2746368
198,Orange Bowl,1/1/1985,"Miami, FL",28,17,Washington (4),Oklahoma (2),25.7616798,-80.1917902,47.65533509999999,-122.3035199,35.2058936,-97.4457137
199,Rose Bowl,1/1/1985,"Pasadena, CA",20,17,Southern California (18),Ohio State (6),34.1477849,-118.1445155,34.0223519,-118.285117,40.0068363,-83.0306222
200,Sugar Bowl,1/1/1985,"New Orleans, LA",28,10,Nebraska (5),Louisiana State (11),29.95106579999999,-90.0715323,40.8201966,-96.70047629999999,30.4132579,-91.1800023
201,Bluebonnet Bowl,12/31/1984,"Houston, TX",31,14,West Virginia,Texas Christian,29.7604267,-95.3698028,39.6480359,-79.9697147,32.7095936,-97.3635602
202,Peach Bowl,12/31/1984,"Atlanta, GA",27,24,Virginia,Purdue,33.7489954,-84.3879824,38.0335529,-78.5079772,40.4237054,-86.92119459999999
203,Aloha Bowl,12/29/1984,"Honolulu, HI",27,20,Southern Methodist (10),Notre Dame (17),21.3069444,-157.8583333,32.8412178,-96.78451749999999,41.7055716,-86.2353388
204,Hall of Fame Classic,12/29/1984,"Birmingham, AL",20,19,Kentucky,Wisconsin (20),33.5185892,-86.8103567,38.0306511,-84.5039697,43.076592,-89.4124875
205,Gator Bowl,12/28/1984,"Jacksonville, FL",21,14,Oklahoma State (9),South Carolina (7),30.3321838,-81.65565099999999,36.1270236,-97.07372219999999,33.9937575,-81.0299186
206,Liberty Bowl,12/27/1984,"Memphis, TN",21,15,Auburn (16),Arkansas,35.1495343,-90.0489801,32.5933574,-85.4951663,36.0686895,-94.1748471
207,Freedom Bowl,12/26/1984,"Anaheim, CA",55,17,Iowa,Texas (19),33.8365932,-117.9143012,41.6626963,-91.5548998,30.2849185,-97.7340567
208,Cherry Bowl,12/22/1984,"Pontiac, MI",10,6,Army,Michigan State,42.6389216,-83.29104679999999,35.9587748,-83.9279907,42.701848,-84.4821719
209,Citrus Bowl,12/22/1984,"Orlando, FL",17,17,Georgia,Florida State (15),28.5383355,-81.3792365,33.9480053,-83.3773221,30.43495,-84.284994
210,Sun Bowl,12/22/1984,"El Paso, TX",28,27,Maryland (12),Tennessee,31.7618778,-106.4850217,38.9869183,-76.9425543,35.9544013,-83.92945639999999
211,Holiday Bowl,12/21/1984,"San Diego, CA",24,17,Brigham Young (1),Michigan,32.715738,-117.1610838,40.2518435,-111.6493156,42.2780436,-83.7382241
212,California Bowl,12/15/1984,"Fresno, CA",30,13,Nevada-Las Vegas,Toledo,36.7377981,-119.7871247,36.1085197,-115.1431709,41.6578804,-83.6142374
213,Independence Bowl,12/15/1984,"Shreveport, LA",23,7,Air Force,Virginia Tech,32.5251516,-93.7501789,32.3771126,-86.3386457,37.22838429999999,-80.42341669999999
214,Cotton Bowl,1/1/1986,"Dallas, TX",36,16,Texas A&M (11),Auburn (16),32.7766642,-96.79698789999999,30.6187558,-96.33647719999999,32.5933574,-85.4951663
215,Fiesta Bowl,1/1/1986,"Tempe, AZ",27,23,Michigan (5),Nebraska (7),33.4255104,-111.9400054,42.2780436,-83.7382241,40.8201966,-96.70047629999999
216,Orange Bowl,1/1/1986,"Miami, FL",25,10,Oklahoma (3),Penn State (1),25.7616798,-80.1917902,35.2058936,-97.4457137,40.7982133,-77.8599084
217,Rose Bowl,1/1/1986,"Pasadena, CA",45,28,UCLA (13),Iowa (4),34.1477849,-118.1445155,34.068921,-118.4451811,41.6626963,-91.5548998
218,Sugar Bowl,1/1/1986,"New Orleans, LA",35,7,Tennessee (8),Miami (FL) (2),29.95106579999999,-90.0715323,35.9544013,-83.92945639999999,25.7178924,-80.2746368
219,Bluebonnet Bowl,12/31/1985,"Houston, TX",24,16,Air Force (10),Texas,29.7604267,-95.3698028,32.3771126,-86.3386457,30.2849185,-97.7340567
220,Hall of Fame Classic,12/31/1985,"Birmingham, AL",17,14,Georgia Tech,Michigan State,33.5185892,-86.8103567,33.7756178,-84.39628499999999,42.701848,-84.4821719
221,Peach Bowl,12/31/1985,"Atlanta, GA",31,29,Army,Illinois,33.7489954,-84.3879824,35.9587748,-83.9279907,40.1019523,-88.2271615
222,Freedom Bowl,12/30/1985,"Anaheim, CA",20,17,Washington,Colorado,33.8365932,-117.9143012,47.65533509999999,-122.3035199,40.00758099999999,-105.2659417
223,Gator Bowl,12/30/1985,"Jacksonville, FL",34,23,Florida State (18),Oklahoma State (19),30.3321838,-81.65565099999999,30.43495,-84.284994,36.1270236,-97.07372219999999
224,Aloha Bowl,12/28/1985,"Honolulu, HI",24,3,Alabama (15),Southern California,21.3069444,-157.8583333,33.2140233,-87.5391418,34.0223519,-118.285117
225,Citrus Bowl,12/28/1985,"Orlando, FL",10,7,Ohio State (17),Brigham Young (9),28.5383355,-81.3792365,40.0068363,-83.0306222,40.2518435,-111.6493156
226,Sun Bowl,12/28/1985,"El Paso, TX",13,13,Georgia,Arizona,31.7618778,-106.4850217,33.9480053,-83.3773221,32.2318851,-110.9501094
227,Liberty Bowl,12/27/1985,"Memphis, TN",21,7,Baylor,Louisiana State (12),35.1495343,-90.0489801,31.5497007,-97.1143046,30.4132579,-91.1800023
228,Holiday Bowl,12/22/1985,"San Diego, CA",18,17,Arkansas (14),Arizona State,32.715738,-117.1610838,36.0686895,-94.1748471,32.2318851,-110.9501094
229,Cherry Bowl,12/21/1985,"Pontiac, MI",35,18,Maryland (20),Syracuse,42.6389216,-83.29104679999999,38.9869183,-76.9425543,43.0391534,-76.1351158
230,Independence Bowl,12/21/1985,"Shreveport, LA",20,13,Minnesota,Clemson,32.5251516,-93.7501789,44.97399,-93.2277285,34.6738437,-82.8368654
231,California Bowl,12/14/1985,"Fresno, CA",51,7,Fresno State,Bowling Green State (20),36.7377981,-119.7871247,36.81336410000001,-119.7460884,41.3797788,-83.6300826
232,Fiesta Bowl,1/2/1987,"Tempe, AZ",14,10,Penn State (2),Miami (FL) (1),33.4255104,-111.9400054,40.7982133,-77.8599084,25.7178924,-80.2746368
233,Citrus Bowl,1/1/1987,"Orlando, FL",16,7,Auburn (10),Southern California,28.5383355,-81.3792365,32.5933574,-85.4951663,34.0223519,-118.285117
234,Cotton Bowl,1/1/1987,"Dallas, TX",28,12,Ohio State (11),Texas A&M (8),32.7766642,-96.79698789999999,40.0068363,-83.0306222,30.6187558,-96.33647719999999
235,Orange Bowl,1/1/1987,"Miami, FL",42,8,Oklahoma (3),Arkansas (9),25.7616798,-80.1917902,35.2058936,-97.4457137,36.0686895,-94.1748471
236,Rose Bowl,1/1/1987,"Pasadena, CA",22,15,Arizona State (7),Michigan (4),34.1477849,-118.1445155,32.2318851,-110.9501094,42.2780436,-83.7382241
237,Sugar Bowl,1/1/1987,"New Orleans, LA",30,15,Nebraska (6),Louisiana State (5),29.95106579999999,-90.0715323,40.8201966,-96.70047629999999,30.4132579,-91.1800023
238,All-American Bowl,12/31/1986,"Birmingham, AL",27,13,Florida State,Indiana,33.5185892,-86.8103567,30.43495,-84.284994,39.1754487,-86.512627
239,Bluebonnet Bowl,12/31/1986,"Houston, TX",21,9,Baylor (14),Colorado,29.7604267,-95.3698028,31.5497007,-97.1143046,40.00758099999999,-105.2659417
240,Peach Bowl,12/31/1986,"Atlanta, GA",25,24,Virginia Tech,North Carolina State (18),33.7489954,-84.3879824,37.22838429999999,-80.42341669999999,35.7846633,-78.6820946
241,Freedom Bowl,12/30/1986,"Anaheim, CA",31,10,UCLA (15),Brigham Young,33.8365932,-117.9143012,34.068921,-118.4451811,40.2518435,-111.6493156
242,Holiday Bowl,12/30/1986,"San Diego, CA",39,38,Iowa (19),San Diego State,32.715738,-117.1610838,41.6626963,-91.5548998,32.7739344,-117.0701349
243,Liberty Bowl,12/29/1986,"Memphis, TN",21,14,Tennessee,Minnesota,35.1495343,-90.0489801,35.9544013,-83.92945639999999,44.97399,-93.2277285
244,Aloha Bowl,12/27/1986,"Honolulu, HI",30,21,Arizona (16),North Carolina,21.3069444,-157.8583333,32.2318851,-110.9501094,35.9049122,-79.0469134
245,Gator Bowl,12/27/1986,"Jacksonville, FL",27,21,Clemson,Stanford (20),30.3321838,-81.65565099999999,34.6738437,-82.8368654,37.4274745,-122.169719
246,Sun Bowl,12/25/1986,"El Paso, TX",28,6,Alabama (13),Washington (12),31.7618778,-106.4850217,33.2140233,-87.5391418,47.65533509999999,-122.3035199
247,Hall of Fame Bowl,12/23/1986,"Tampa, FL",27,24,Boston College,Georgia (17),27.950575,-82.4571776,42.3355488,-71.16849450000001,33.9480053,-83.3773221
248,Independence Bowl,12/20/1986,"Shreveport, LA",20,17,Mississippi,Texas Tech,32.5251516,-93.7501789,34.3647324,-89.538443,33.5842591,-101.8782822
249,California Bowl,12/13/1986,"Fresno, CA",37,7,San Jose State,Miami (OH),36.7377981,-119.7871247,37.3351874,-121.8810715,25.7178924,-80.2746368
250,Hall of Fame Bowl,1/2/1988,"Tampa, FL",28,24,Michigan,Alabama,27.950575,-82.4571776,42.2780436,-83.7382241,33.2140233,-87.5391418
251,Peach Bowl,1/2/1988,"Atlanta, GA",27,22,Tennessee (17),Indiana,33.7489954,-84.3879824,35.9544013,-83.92945639999999,39.1754487,-86.512627
252,Citrus Bowl,1/1/1988,"Orlando, FL",35,10,Clemson (14),Penn State (20),28.5383355,-81.3792365,34.6738437,-82.8368654,40.7982133,-77.8599084
253,Cotton Bowl,1/1/1988,"Dallas, TX",35,10,Texas A&M (13),Notre Dame (12),32.7766642,-96.79698789999999,30.6187558,-96.33647719999999,41.7055716,-86.2353388
254,Fiesta Bowl,1/1/1988,"Tempe, AZ",31,28,Florida State (3),Nebraska (5),33.4255104,-111.9400054,30.43495,-84.284994,40.8201966,-96.70047629999999
255,Orange Bowl,1/1/1988,"Miami, FL",20,14,Miami (FL) (2),Oklahoma (1),25.7616798,-80.1917902,25.7178924,-80.2746368,35.2058936,-97.4457137
256,Rose Bowl,1/1/1988,"Pasadena, CA",20,17,Michigan State (8),Southern California (16),34.1477849,-118.1445155,42.701848,-84.4821719,34.0223519,-118.285117
257,Sugar Bowl,1/1/1988,"New Orleans, LA",16,16,Syracuse (4),Auburn (6),29.95106579999999,-90.0715323,43.0391534,-76.1351158,32.5933574,-85.4951663
258,Bluebonnet Bowl,12/31/1987,"Houston, TX",32,27,Texas,Pittsburgh (19),29.7604267,-95.3698028,30.2849185,-97.7340567,40.4443533,-79.960835
259,Gator Bowl,12/31/1987,"Jacksonville, FL",30,13,Louisiana State (7),South Carolina (9),30.3321838,-81.65565099999999,30.4132579,-91.1800023,33.9937575,-81.0299186
260,Freedom Bowl,12/30/1987,"Anaheim, CA",33,28,Arizona State,Air Force,33.8365932,-117.9143012,32.2318851,-110.9501094,32.3771126,-86.3386457
261,Holiday Bowl,12/30/1987,"San Diego, CA",20,19,Iowa (18),Wyoming,32.715738,-117.1610838,41.6626963,-91.5548998,41.3148754,-105.5665744
262,Liberty Bowl,12/29/1987,"Memphis, TN",20,17,Georgia (15),Arkansas,35.1495343,-90.0489801,33.9480053,-83.3773221,36.0686895,-94.1748471
263,Aloha Bowl,12/25/1987,"Honolulu, HI",20,16,UCLA (10),Florida,21.3069444,-157.8583333,34.068921,-118.4451811,29.6436325,-82.3549302
264,Sun Bowl,12/25/1987,"El Paso, TX",35,33,Oklahoma State (11),West Virginia,31.7618778,-106.4850217,36.1270236,-97.07372219999999,39.6480359,-79.9697147
265,All-American Bowl,12/22/1987,"Birmingham, AL",22,16,Virginia,Brigham Young,33.5185892,-86.8103567,38.0335529,-78.5079772,40.2518435,-111.6493156
266,Independence Bowl,12/19/1987,"Shreveport, LA",24,12,Washington,Tulane,32.5251516,-93.7501789,47.65533509999999,-122.3035199,29.9407282,-90.12031669999999
267,California Bowl,12/12/1987,"Fresno, CA",30,27,Eastern Michigan,San Jose State,36.7377981,-119.7871247,42.2506803,-83.624089,37.3351874,-121.8810715
268,Citrus Bowl,1/2/1989,"Orlando, FL",13,6,Clemson (13),Oklahoma (10),28.5383355,-81.3792365,34.6738437,-82.8368654,35.2058936,-97.4457137
269,Cotton Bowl,1/2/1989,"Dallas, TX",17,3,UCLA (9),Arkansas (8),32.7766642,-96.79698789999999,34.068921,-118.4451811,36.0686895,-94.1748471
270,Fiesta Bowl,1/2/1989,"Tempe, AZ",34,21,Notre Dame (1),West Virginia (3),33.4255104,-111.9400054,41.7055716,-86.2353388,39.6480359,-79.9697147
271,Hall of Fame Bowl,1/2/1989,"Tampa, FL",23,10,Syracuse (17),Louisiana State (16),27.950575,-82.4571776,43.0391534,-76.1351158,30.4132579,-91.1800023
272,Orange Bowl,1/2/1989,"Miami, FL",23,3,Miami (FL) (2),Nebraska (6),25.7616798,-80.1917902,25.7178924,-80.2746368,40.8201966,-96.70047629999999
273,Rose Bowl,1/2/1989,"Pasadena, CA",22,14,Michigan (11),Southern California (5),34.1477849,-118.1445155,42.2780436,-83.7382241,34.0223519,-118.285117
274,Sugar Bowl,1/2/1989,"New Orleans, LA",13,7,Florida State (4),Auburn (7),29.95106579999999,-90.0715323,30.43495,-84.284994,32.5933574,-85.4951663
275,Gator Bowl,1/1/1989,"Jacksonville, FL",34,27,Georgia (19),Michigan State,30.3321838,-81.65565099999999,33.9480053,-83.3773221,42.701848,-84.4821719
276,Peach Bowl,12/31/1988,"Atlanta, GA",28,23,North Carolina State,Iowa,33.7489954,-84.3879824,35.7846633,-78.6820946,41.6626963,-91.5548998
277,Holiday Bowl,12/30/1988,"San Diego, CA",62,14,Oklahoma State (12),Wyoming (15),32.715738,-117.1610838,36.1270236,-97.07372219999999,41.3148754,-105.5665744
278,All-American Bowl,12/29/1988,"Birmingham, AL",14,10,Florida,Illinois,33.5185892,-86.8103567,29.6436325,-82.3549302,40.1019523,-88.2271615
279,Freedom Bowl,12/29/1988,"Anaheim, CA",20,17,Brigham Young,Colorado,33.8365932,-117.9143012,40.2518435,-111.6493156,40.00758099999999,-105.2659417
280,Liberty Bowl,12/28/1988,"Memphis, TN",34,10,Indiana,South Carolina,35.1495343,-90.0489801,39.1754487,-86.512627,33.9937575,-81.0299186
281,Aloha Bowl,12/25/1988,"Honolulu, HI",24,22,Washington State (18),Houston (14),21.3069444,-157.8583333,46.7319225,-117.1542121,29.7199489,-95.3422334
282,Sun Bowl,12/24/1988,"El Paso, TX",29,28,Alabama (20),Army,31.7618778,-106.4850217,33.2140233,-87.5391418,35.9587748,-83.9279907
283,Independence Bowl,12/23/1988,"Shreveport, LA",38,18,Southern Mississippi,Texas-El Paso,32.5251516,-93.7501789,31.3298941,-89.3340439,31.7709368,-106.5046405
284,California Bowl,12/10/1988,"Fresno, CA",35,30,Fresno State,Western Michigan,36.7377981,-119.7871247,36.81336410000001,-119.7460884,42.2837336,-85.6102507
285,Citrus Bowl,1/1/1990,"Orlando, FL",31,21,Illinois (11),Virginia (15),28.5383355,-81.3792365,40.1019523,-88.2271615,38.0335529,-78.5079772
286,Cotton Bowl,1/1/1990,"Dallas, TX",31,27,Tennessee (8),Arkansas (10),32.7766642,-96.79698789999999,35.9544013,-83.92945639999999,36.0686895,-94.1748471
287,Fiesta Bowl,1/1/1990,"Tempe, AZ",41,17,Florida State (5),Nebraska (6),33.4255104,-111.9400054,30.43495,-84.284994,40.8201966,-96.70047629999999
288,Hall of Fame Bowl,1/1/1990,"Tampa, FL",31,14,Auburn (9),Ohio State (21),27.950575,-82.4571776,32.5933574,-85.4951663,40.0068363,-83.0306222
289,Orange Bowl,1/1/1990,"Miami, FL",21,6,Notre Dame (4),Colorado (1),25.7616798,-80.1917902,41.7055716,-86.2353388,40.00758099999999,-105.2659417
290,Rose Bowl,1/1/1990,"Pasadena, CA",17,10,Southern California (12),Michigan (3),34.1477849,-118.1445155,34.0223519,-118.285117,42.2780436,-83.7382241
291,Sugar Bowl,1/1/1990,"New Orleans, LA",33,25,Miami (FL) (2),Alabama (7),29.95106579999999,-90.0715323,25.7178924,-80.2746368,33.2140233,-87.5391418
292,Copper Bowl,12/31/1989,"Tucson, AZ",17,10,Arizona,North Carolina State,32.2226066,-110.9747108,32.2318851,-110.9501094,35.7846633,-78.6820946
293,Freedom Bowl,12/30/1989,"Anaheim, CA",34,7,Washington,Florida,33.8365932,-117.9143012,47.65533509999999,-122.3035199,29.6436325,-82.3549302
294,Gator Bowl,12/30/1989,"Jacksonville, FL",27,7,Clemson (14),West Virginia (17),30.3321838,-81.65565099999999,34.6738437,-82.8368654,39.6480359,-79.9697147
295,Peach Bowl,12/30/1989,"Atlanta, GA",19,18,Syracuse,Georgia,33.7489954,-84.3879824,43.0391534,-76.1351158,33.9480053,-83.3773221
296,Sun Bowl,12/30/1989,"El Paso, TX",31,28,Pittsburgh (23),Texas A&M (16),31.7618778,-106.4850217,40.4443533,-79.960835,30.6187558,-96.33647719999999
297,Holiday Bowl,12/29/1989,"San Diego, CA",50,39,Penn State (18),Brigham Young (19),32.715738,-117.1610838,40.7982133,-77.8599084,40.2518435,-111.6493156
298,All-American Bowl,12/28/1989,"Birmingham, AL",49,21,Texas Tech (24),Duke (20),33.5185892,-86.8103567,33.5842591,-101.8782822,36.0014258,-78.9382286
299,Liberty Bowl,12/28/1989,"Memphis, TN",42,29,Mississippi,Air Force,35.1495343,-90.0489801,34.3647324,-89.538443,32.3771126,-86.3386457
300,Aloha Bowl,12/25/1989,"Honolulu, HI",33,13,Michigan State (22),Hawaii (25),21.3069444,-157.8583333,42.701848,-84.4821719,21.296939,-157.8171118
301,Independence Bowl,12/16/1989,"Shreveport, LA",27,24,Oregon,Tulsa,32.5251516,-93.7501789,44.0448302,-123.0726055,36.1520526,-95.94607529999999
302,California Bowl,12/9/1989,"Fresno, CA",27,6,Fresno State,Ball State,36.7377981,-119.7871247,36.81336410000001,-119.7460884,40.2049604,-85.40628459999999
303,Citrus Bowl,1/1/1991,"Orlando, FL",45,21,Georgia Tech (2),Nebraska (19),28.5383355,-81.3792365,33.7756178,-84.39628499999999,40.8201966,-96.70047629999999
304,Cotton Bowl,1/1/1991,"Dallas, TX",46,3,Miami (FL) (4),Texas (3),32.7766642,-96.79698789999999,25.7178924,-80.2746368,30.2849185,-97.7340567
305,Fiesta Bowl,1/1/1991,"Tempe, AZ",34,7,Louisville (18),Alabama (25),33.4255104,-111.9400054,38.2122761,-85.75850229999999,33.2140233,-87.5391418
306,Gator Bowl,1/1/1991,"Jacksonville, FL",35,3,Michigan (12),Mississippi (15),30.3321838,-81.65565099999999,42.2780436,-83.7382241,34.3647324,-89.538443
307,Hall of Fame Bowl,1/1/1991,"Tampa, FL",30,0,Clemson (14),Illinois (16),27.950575,-82.4571776,34.6738437,-82.8368654,40.1019523,-88.2271615
308,Orange Bowl,1/1/1991,"Miami, FL",10,9,Colorado (1),Notre Dame (5),25.7616798,-80.1917902,40.00758099999999,-105.2659417,41.7055716,-86.2353388
309,Rose Bowl,1/1/1991,"Pasadena, CA",46,34,Washington (8),Iowa (17),34.1477849,-118.1445155,47.65533509999999,-122.3035199,41.6626963,-91.5548998
310,Sugar Bowl,1/1/1991,"New Orleans, LA",23,22,Tennessee (10),Virginia,29.95106579999999,-90.0715323,35.9544013,-83.92945639999999,38.0335529,-78.5079772
311,Copper Bowl,12/31/1990,"Tucson, AZ",17,15,California,Wyoming,32.2226066,-110.9747108,37.8718992,-122.2585399,41.3148754,-105.5665744
312,Sun Bowl,12/31/1990,"El Paso, TX",17,16,Michigan State (22),Southern California (21),31.7618778,-106.4850217,42.701848,-84.4821719,34.0223519,-118.285117
313,Freedom Bowl,12/29/1990,"Anaheim, CA",32,31,Colorado State,Oregon,33.8365932,-117.9143012,40.573436,-105.0865473,44.0448302,-123.0726055
314,Holiday Bowl,12/29/1990,"San Diego, CA",65,14,Texas A&M,Brigham Young (13),32.715738,-117.1610838,30.6187558,-96.33647719999999,40.2518435,-111.6493156
315,Peach Bowl,12/29/1990,"Atlanta, GA",27,23,Auburn,Indiana,33.7489954,-84.3879824,32.5933574,-85.4951663,39.1754487,-86.512627
316,All-American Bowl,12/28/1990,"Birmingham, AL",31,27,North Carolina State,Southern Mississippi (23),33.5185892,-86.8103567,35.7846633,-78.6820946,31.3298941,-89.3340439
317,Blockbuster Bowl,12/28/1990,"Miami, FL",24,17,Florida State (6),Penn State (7),25.7616798,-80.1917902,30.43495,-84.284994,40.7982133,-77.8599084
